channel-1,channel-10,channel-11,channel-12,channel-13,channel-14,channel-15,channel-16,channel-17,channel-18,channel-19,channel-2,channel-20,channel-21,channel-22,channel-23,channel-24,channel-25,channel-26,channel-27,channel-28,channel-29,channel-3,channel-30,channel-31,channel-32,channel-33,channel-34,channel-35,channel-36,channel-37,channel-38,channel-39,channel-4,channel-40,channel-41,channel-42,channel-43,channel-44,channel-45,channel-46,channel-47,channel-48,channel-49,channel-5,channel-50,channel-51,channel-52,channel-53,channel-54,channel-55,channel-56,channel-57,channel-58,channel-59,channel-6,channel-60,channel-61,channel-62,channel-63,channel-64,channel-7,channel-8,channel-9,posix
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894583983
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894582981
RED,RED,GREEN,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,GREEN,1490894567749
RED,RED,RED,RED,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894563737
RED,RED,RED,RED,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,YELLOW,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,YELLOW,RED,1490894559624
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894559123
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894558121
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894557120
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894556118
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894555117
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894554117
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894553114
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894552112
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894551112
RED,YELLOW,RED,YELLOW,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894550111
RED,GREEN,RED,GREEN,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,GREEN,RED,1490894529469
RED,RED,RED,RED,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894524463
RED,RED,RED,RED,YELLOW,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,YELLOW,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894520363
RED,RED,RED,RED,GREEN,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894512350
RED,RED,RED,RED,RED,RED,RED,RED,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894508246
RED,RED,RED,RED,YELLOW,RED,YELLOW,RED,NONE,NONE,NONE,YELLOW,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,YELLOW,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894504140
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894503139
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894502138
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894501138
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894500135
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894499134
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894498132
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894497131
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894496130
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894495129
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894494129
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894493127
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894492123
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894491122
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894490122
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894489122
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894488122
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894487122
RED,RED,RED,RED,GREEN,RED,GREEN,RED,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,RED,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GREEN,NONE,NONE,NONE,NONE,NONE,RED,RED,RED,1490894486122
